SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
WEBELSOLAR,BE,1834.9,1850,1744.95,1755.8,1753.5,1836.75,148582,263357988.15,09-Jan-2025,7359,INE855C01015
PARACABLES,EQ,82.87,82.87,79.25,79.58,79.72,82.91,1667326,134801397.06,09-Jan-2025,7368,INE074B01023
PGEL,EQ,950.2,955,907.95,922.2,921.75,950.5,924151,853869046.55,09-Jan-2025,49776,INE457L01029
ROUTE,EQ,1371,1371,1353,1357.9,1357,1357.05,22494,30586528.20,09-Jan-2025,3446,INE450U01017
SELAN,EQ,815.05,833.95,810,811.2,813,820.75,13900,11366931.40,09-Jan-2025,1541,INE818A01017
INDIANCARD,BE,299.9,299.9,283,286.4,283,287.65,3294,949353.75,09-Jan-2025,95,INE061A01014
IRIS,BE,500.4,500.7,485,500.35,500.7,476.9,115918,57487482.20,09-Jan-2025,878,INE864K01010
MAHLOG,EQ,374.9,374.9,367.9,368.9,369.35,371.05,47391,17579091.75,09-Jan-2025,6402,INE766P01016
AYMSYNTEX,EQ,262.95,262.95,244.15,244.15,244.15,257,28589,7145952.06,09-Jan-2025,480,INE193B01039
SUYOG,EQ,1671,1705.15,1627,1637.5,1632.2,1680.05,35060,58403350.90,09-Jan-2025,3846,INE442P01014
ONWARDTEC,EQ,328.4,330.8,318.95,319.5,321,331,26296,8512291.05,09-Jan-2025,1498,INE229A01017
RAMCOSYS,EQ,411.45,416,402,405.4,405.05,412.1,32182,13177643.60,09-Jan-2025,1652,INE246B01019
RANASUG,EQ,17.99,18.15,17.69,17.97,18.1,17.39,302202,5420196.37,09-Jan-2025,2003,INE625B01014
SAPPHIRE,EQ,339.6,347.15,334.9,343.9,341.55,339.6,268914,91438593.40,09-Jan-2025,16350,INE806T01020
MAHEPC,EQ,110.6,114.78,106.82,109.86,110.25,112.27,71768,7899776.40,09-Jan-2025,2167,INE215D01010
ARVIND,EQ,406.85,409.6,393.6,397.9,397,409.6,453414,181316615.70,09-Jan-2025,19017,INE034A01011
BBTC,EQ,2088.55,2126,2064,2074.45,2074,2071.6,59868,125596294.05,09-Jan-2025,12215,INE050A01025
HGS,EQ,687,690.5,671.35,675.05,673.55,686.9,16748,11402128.90,09-Jan-2025,1228,INE170I01016
SLONE,ST,446.5,446.5,446.5,446.5,446.5,437.75,1600,714400.00,09-Jan-2025,2,INE0SMA01017
THEMISMED,EQ,270.85,283.95,268.25,271.25,268.25,275.4,304814,84339787.00,09-Jan-2025,6031,INE083B01024
UNIHEALTH,SM,144.95,151.35,142.5,148,148,142,24000,3535800.00,09-Jan-2025,22,INE0PRF01011
VR,ST,312,312,312,312,312,312,400,124800.00,09-Jan-2025,1,INE0QQM01017
NEWGEN,EQ,1640,1667.4,1596.1,1606.25,1609,1642.65,251330,406980619.70,09-Jan-2025,23729,INE619B01017
SHANTI,EQ,17,18.81,16.26,17.31,17,17.1,1274804,21807213.74,09-Jan-2025,3734,INE933X01016
MOTISONS,EQ,27.96,28,26.76,26.89,26.85,27.72,1071266,29189509.05,09-Jan-2025,4309,INE0FRK01020
AKIKO,SM,70,70,70,70,70,71.2,3200,224000.00,09-Jan-2025,1,INE0PMR01017
ATALREAL,BE,14.2,14.4,13.92,14.2,14.2,14.2,441901,6285642.28,09-Jan-2025,167,INE0ALR01029
EMBDL,EQ,142.99,143.5,134.4,135.19,135.4,143.34,9275587,1283536495.91,09-Jan-2025,53012,INE069I01010
HUDCO,EQ,237.8,237.8,226.34,227.14,228.5,238.44,4545864,1049242916.41,09-Jan-2025,41861,INE031A01017
UBL,EQ,1991.1,2035.65,1979.95,2023.45,2002,2000.8,344496,694495775.75,09-Jan-2025,40558,INE686F01025
SETFNN50,EQ,706.1,706.1,692,694.32,702,702.97,69088,48151544.68,09-Jan-2025,2330,INF200KA1598
SCLZC25B,AT,1085.73,1085.73,1085.73,1085.73,1085.73,1113.56,2,2171.46,09-Jan-2025,1,INE148I07OO1
KRYSTAL,EQ,692.85,697.6,684.4,688.5,689,689.65,12861,8883210.55,09-Jan-2025,1815,INE0QN801017
ABSMARINE,SM,187.95,187.95,182.25,184.05,182.25,183.5,94000,17327550.00,09-Jan-2025,82,INE0QRV01016
AIRAN,EQ,36.4,36.5,34.37,34.61,34.73,35.73,254887,8959484.27,09-Jan-2025,2784,INE645W01026
IDFNIFTYET,EQ,253.66,257.1,253.66,256.02,256.16,257.52,340,87068.16,09-Jan-2025,25,INF194KA1U07
DBSTOCKBRO,EQ,45.75,45.75,44.11,44.48,45.29,44.76,9500,426459.61,09-Jan-2025,522,INE921B01025
GSFC,EQ,200.9,205.47,200.1,204,204.1,200.57,1794590,365005365.57,09-Jan-2025,21890,INE026A01025
SGL,EQ,17.97,17.97,17.17,17.2,17.36,17.47,12625,219569.27,09-Jan-2025,130,INE353H01010
10IIFL28A,NE,1020,1020,1020,1020,1020,1010,26,26520.00,09-Jan-2025,2,INE530B08094
SOTL,EQ,552.6,587,546.4,550.65,553,553.45,48748,27399684.05,09-Jan-2025,4365,INE035D01020
